night;group_night;IdLabel;IdRFID;weight;sex;group;discard;cond
30;1;Ind11;04185D1858;9.64;f;mixed2;0;test
30;1;Ind12;04185D1DE6;9.88;f;mixed2;0;test
31;2;Ind7;04185CDFBF;9.12;m;mixed2;0;test
31;2;Ind8;04185CE762;9.85;m;mixed2;0;test
31;2;Ind9;04185D008F;10.24;m;mixed2;0;test
31;2;Ind10;04185D12B9;9.69;f;mixed2;0;test
31;2;Ind11;04185D1858;9.64;f;mixed2;0;test
31;2;Ind12;04185D1DE6;9.88;f;mixed2;0;test
32;3;Ind7;04185CDFBF;9.12;m;mixed2;0;test
32;3;Ind8;04185CE762;9.85;m;mixed2;0;test
32;3;Ind9;04185D008F;10.24;m;mixed2;0;test
32;3;Ind10;04185D12B9;9.69;f;mixed2;0;test
32;3;Ind11;04185D1858;9.64;f;mixed2;0;test
32;3;Ind12;04185D1DE6;9.88;f;mixed2;0;test
33;4;Ind7;04185CDFBF;9.12;m;mixed2;0;test
33;4;Ind8;04185CE762;9.85;m;mixed2;0;test
33;4;Ind9;04185D008F;10.24;m;mixed2;0;test
33;4;Ind10;04185D12B9;9.69;f;mixed2;0;test
33;4;Ind11;04185D1858;9.64;f;mixed2;0;test
33;4;Ind12;04185D1DE6;9.88;f;mixed2;0;test
34;5;Ind7;04185CDFBF;9.12;m;mixed2;0;test
34;5;Ind8;04185CE762;9.85;m;mixed2;0;test
34;5;Ind9;04185D008F;10.24;m;mixed2;0;test
34;5;Ind10;04185D12B9;9.69;f;mixed2;0;test
34;5;Ind11;04185D1858;9.64;f;mixed2;0;test
34;5;Ind12;04185D1DE6;9.88;f;mixed2;0;test
35;6;Ind7;04185CDFBF;9.12;m;mixed2;0;test
35;6;Ind8;04185CE762;9.85;m;mixed2;0;test
35;6;Ind9;04185D008F;10.24;m;mixed2;0;test
35;6;Ind10;04185D12B9;9.69;f;mixed2;0;test
35;6;Ind11;04185D1858;9.64;f;mixed2;0;test
35;6;Ind12;04185D1DE6;9.88;f;mixed2;0;test
36;7;Ind7;04185CDFBF;9.12;m;mixed2;0;test
36;7;Ind8;04185CE762;9.85;m;mixed2;0;test
36;7;Ind9;04185D008F;10.24;m;mixed2;0;test
36;7;Ind10;04185D12B9;9.69;f;mixed2;0;test
36;7;Ind11;04185D1858;9.64;f;mixed2;0;test
36;7;Ind12;04185D1DE6;9.88;f;mixed2;0;test
37;8;Ind7;04185CDFBF;9.12;m;mixed2;0;test
37;8;Ind8;04185CE762;9.85;m;mixed2;0;test
37;8;Ind9;04185D008F;10.24;m;mixed2;0;test
37;8;Ind10;04185D12B9;9.69;f;mixed2;0;test
37;8;Ind11;04185D1858;9.64;f;mixed2;0;test
37;8;Ind12;04185D1DE6;9.88;f;mixed2;0;test
38;9;Ind7;04185CDFBF;9.12;m;mixed2;0;test
38;9;Ind8;04185CE762;9.85;m;mixed2;0;test
38;9;Ind9;04185D008F;10.24;m;mixed2;0;test
38;9;Ind10;04185D12B9;9.69;f;mixed2;0;test
38;9;Ind11;04185D1858;9.64;f;mixed2;0;test
38;9;Ind12;04185D1DE6;9.88;f;mixed2;0;test
39;0;Ind13;04185CDFBF;10.44;m;mixed3;0;train
39;0;Ind14;04185CE762;9.88;m;mixed3;0;train
39;0;Ind15;04185D008F;10.37;f;mixed3;0;train
39;0;Ind16;04185D12B9;9.91;m;mixed3;0;train
39;0;Ind17;04185D1858;10.16;f;mixed3;0;train
39;0;Ind18;04185D1DE6;9.55;f;mixed3;0;train
40;1;Ind13;04185CDFBF;10.44;m;mixed3;0;test
40;1;Ind14;04185CE762;9.88;m;mixed3;0;test
40;1;Ind15;04185D008F;10.37;f;mixed3;0;test
40;1;Ind16;04185D12B9;9.91;m;mixed3;0;test
40;1;Ind17;04185D1858;10.16;f;mixed3;0;test
40;1;Ind18;04185D1DE6;9.55;f;mixed3;0;test
41;2;Ind13;04185CDFBF;10.44;m;mixed3;0;test
41;2;Ind14;04185CE762;9.88;m;mixed3;0;test
41;2;Ind15;04185D008F;10.37;f;mixed3;0;test
41;2;Ind16;04185D12B9;9.91;m;mixed3;0;test
